did,description,record_text
did:plc:fnqhfefhrn2kq2v4hmamkbij,"Prof @ Northwestern law, political theorist, cat parent. Black lives matter. 

Profile, pubs, etc: https://gowder.io 

All my books (rule of law, racial justice, platform governance) are downloadable in free open access pdf @ https://books.gowder.io",of successfully managing human affairs based on your armchair theory of the world? You really think the math you did tells you more than the experience of practical people solving practical problems for generations? Get over yourself. 
did:plc:rah6n3qddsgah6sp2ptuqols,"computer enthusiast. fan of javascript. infosec wannabe. unapologetically furry. disaster trans | PCMR team member | she/her | 30 | plural | pfp @ashleyloob.bsky.social, header @rolo-stuff.bsky.social

Check my custom feeds for my comms","Today, the Internet Archive submitted its appeal in Hachette v. Internet Archive. As we stated when the decision was handed down in March, we believe the lower court made errors in facts and law, so we are fighting on in the face of great challenges. blog.archive.org/2023/09/11/i..."
did:plc:wuamgt4m743fl3atrs4agwsq,Historian of science and religion in a previous life. Author @Palgrave (2020). Views mine. He/Him. Orange belt in Karate (2002). I'm big in Japan.,"I've rarely attacked @nytimes.com  as a whole because they still have a lot of hard-working talent despite editorial decisions. I am quickly losing all respect for the publication just because Lipton has taken on the role of their spokesman, and he has nothing of value to offer society but contempt."
did:plc:fnqhfefhrn2kq2v4hmamkbij,"Prof @ Northwestern law, political theorist, cat parent. Black lives matter. 

Profile, pubs, etc: https://gowder.io 

All my books (rule of law, racial justice, platform governance) are downloadable in free open access pdf @ https://books.gowder.io",I really want to meet this guy's parents
did:plc:bk3wkk4c5vfdpqlg4kscmiu2,"I respect facts, good journalism and welcome insights. Love travel & rescue pets but sadly gluten is no friend of mine #coeliac #celiac Always home to a #goodread and the best of culture. #humanism #mindful UK based Ex-Ireland & Canada. ","Who could have seen that on the radar; oh, wait … 🛩️"
did:plc:7iepugbbrhu5nonjw67rg7yo,"Pan African Scholar, historian of the US urban environment, Army brat, US Army vet, master electrician, social & environmental justice activist, Life Long Learner

“…ignorance, allied with power, is the most ferocious enemy justice can have.”
James Baldwin","Elon Musk's private security detail has been deputized as Federal Marshalls and can carry firearms on Federal property. 

What could possibly go wrong?

www.cnn.com/2025/02/20/p..."
did:plc:yc7svzsjqbpedrznhujq66xd,"I make ceramic containers because I hate clutter and love making things. 

Born Stateless, US citizen on paper.  Love the people, worried about them  &  government. 

Cutting wood, carrying water.",Good to know.
did:plc:wuamgt4m743fl3atrs4agwsq,Historian of science and religion in a previous life. Author @Palgrave (2020). Views mine. He/Him. Orange belt in Karate (2002). I'm big in Japan.,"Despicable. Ron Desantis has signed the bill banning heat protections for outdoor workers.

Last year, the first heat death reported to OSHA was January 1. That farm worker was killed in Florida.

www.wfla.com/news/florida..."
did:plc:gxbgf5igwxvavzqimpi2yavj,"Elder Millennial/horror, gay gremlin, dog dad, TRANS RIGHTS, Film dork, pop queen and history nerd. Space Opera, city builder & medieval tavern game enthusiast. Currently watching all of Silent Witness! #SilentWitnessers","Gordo, I cannot be faffed with the Stardew Fishing mechanic so I got a mod that skips it and just gives me fish. Can I ever be forgiven?"
did:plc:vupv7ucksqnnbqbpy75xftxy,"Punk rock musician, speech teacher, outdoors chica, social justice warrior, media monster, generally one tough, outspoken broad. 👊🏻😎🎸🗯️🇺🇸🏳️‍🌈🏳️‍⚧️✊🏽✊🏾✊🏿💙 🚫crypto 🚫MAGA🚫DMs",There is a Black Friday sale on America this week and the billionaires are lining up at Mar-a-lago.
did:plc:uktnkxdf7unjttltqzliyjb2,"Huge fan of space, both personal and outer. I insist upon the view that ‘all is waves’. 
Astrophysicist 💫 
Scicommer ⚛️
Space Cadet 🚀
Lunatic 🌙
TBTL10 📻
summerash.com",Today in rural internet speeds
did:plc:tjapkoylvolllhasbeg5y73j,"Van dwelling Brit of strongly centre-left politics, a love of blues music and podcasts, and a passion for failing at cooking.

Europhile. Rejoiner.  United States of Europe would get my X.

Van life is incredibly solitary so new friends are always welcome.",Are you still in California? I'm on the south coast of England in a county called Dorset. It's a lovely part of the UK.
did:plc:hz3326pbzlaojpkfp43su4zl,"( Slava Ukraine 🇺🇦  ) 

Werk bij T-Zorg.  Red de 🐝 en 🦋
Lees veel 📚 en luister Spotify '70🎶
NASA🛰️  ESA🛸 en ESO🚀
Tekenen 🖋️schilderen🖌️ 
Herfst 🍁🍂 Winter ☃️❄️ type 
GroenLinks lid 💚 Ajax fan
Klimaat neutraal onze wijk 🍀","Beterschap en slaap en rust maar goed uit 

Welterusten xx"
did:plc:hz3326pbzlaojpkfp43su4zl,"( Slava Ukraine 🇺🇦  ) 

Werk bij T-Zorg.  Red de 🐝 en 🦋
Lees veel 📚 en luister Spotify '70🎶
NASA🛰️  ESA🛸 en ESO🚀
Tekenen 🖋️schilderen🖌️ 
Herfst 🍁🍂 Winter ☃️❄️ type 
GroenLinks lid 💚 Ajax fan
Klimaat neutraal onze wijk 🍀","Donker was het om die tijd
Goedemorgen ☕💯🌧️"
did:plc:uqt33spw62vebsfmqrxemmjy,Business Owner; Rescue Dog Mom; Illini Alumni; Blackhawks Fan Harry Potter Fan; Avid Reader; Believer in Democracy,"I did something different tonight and wrote about myself for the first and probably only time. This is my story in a nutshell, including why I switched parties (it wasn’t just Trump) & how I went from criminal defense attorney to this. open.substack.com/pub/meidasto..."
did:plc:7iepugbbrhu5nonjw67rg7yo,"Pan African Scholar, historian of the US urban environment, Army brat, US Army vet, master electrician, social & environmental justice activist, Life Long Learner

“…ignorance, allied with power, is the most ferocious enemy justice can have.”
James Baldwin","We have the ability in this country to punish people without killing them."" -- Bryan Stevenson"""
did:plc:f2hb6asaanhtduauotj5jgu2,"I support liberty and secularism. Authoritarianism sucks. 
Big fan of human rights and the scientific method. Hate anti-intellectualism, pseudoscience, and techbro transhumanist bullshit. 
I change my mind sometimes.",The owner of Twitter and richest man in the world is a Nazi. I would really appreciate it if world governments reacted appropriately.
did:plc:clb3niaybcqfe5oxguqyuzng,"...schleicht auf samtenen Pfoten durch's Internet 🐈‍⬛

Kaffee-Junkie, ansonsten ganz umgänglich. Liebt das Leben. Und Kaffee. Hab ich den ☕️ schon erwähnt? 😉

Espresso | Science 💉| Technik | Movies 🎞| Podcasts | Nature 🌱 | FckAfd | Fine Food 🥗","Alles gut, kann im Eifer des Gefechts schon schonmal passieren 😉"
did:plc:u6b2xtkjlq4uh6aq6gxzl7ew,"Silver Jewellery Maker Science, Art, Poetry, Writing, History, Mythology and the Weird.

Sussex UK via Dorset

Boycott The USA Slava Ukraine🇺🇦",They are the nurses who are administering the correct doses of the drugs that keep Brexiters alive.
did:plc:luxlzx7dq6cnypvuoecszxrk,"In a world of Trump and Musk, be a Zelensky and fight for your country. Never Trump - Never GOP. No DMs
Stopping the MAGA movement & stopping Trump are my only interest. At least until life returns to normal. 

 🏳️‍🌈🌊💙🇺🇦 #LGBTQ #Resistence #Ukraine",The last 4 years have been like a warm breeze compared to the previous 4 waking up in the morning to see what fresh chaos was perpetrated overnight.
did:plc:u6b2xtkjlq4uh6aq6gxzl7ew,"Silver Jewellery Maker Science, Art, Poetry, Writing, History, Mythology and the Weird.

Sussex UK via Dorset

Boycott The USA Slava Ukraine🇺🇦","Makers have been at the forefront of my mind this last while as I near completion of my book. This c1890 dress bears the label ‘Mrs Oliver, Modes & Robes, London’. It was the trading name for dressmaker Ellen Bushell, whose name is unknown but whose creation survives #tepapa #FashionHistory 🗃️🪡"
did:plc:x4qlblo3bs3oqexzlmpvncbz,"Hacker Mama/Artist/Designer/Coder/Writer/She/Ella Assoc Prof of Urban Science @MITdusp, Director, Data + Feminism Lab, Co-author #DataFeminism, hablo castellano","Just published: New Mobile Media & Communication paper with Kathrin Friedrich on resistant media operations by delivery gig workers in response to app-based tracking.

Learn more about resistant media operations in response app-based tracking:5015792412707: journals.sagepub.com/doi/10.1177/..."
did:plc:sptkal5ejb7h7hjawyfebptw,"I struggle with ADHD, bipolar, and since November 6, anger management.

Life begins at first breath. Abortion restrictions violate the 1st Amendment. Trans rights are human rights. Putin, Netanyahu, and Trump - the Axis of Evil. An #EnemyWithin","Today, in a meeting at the White House, the only person actually defending American interests was Zelenskyy. 

Let that sink in."
did:plc:ppuleqvvwrjck7hfzdvbvyew,I’m what happens when you get Covid while planning your takeover of the world.,"As a dentist, this makes my day.  If only she knew I can count on one hand how many adults I have seen with no fillings or missing teeth.  I hope the tooth fairy brought her something nice!  🦷👑"
did:plc:xogsg2vbt2zmnkzzmzhkrahb,Australian. Sick of the two party duopoly. Rusties and shills turn back now. Public health. Housing for all. A green future. Tax the billionaires. Peace.,The rich live in castles built on the broken backs of the working class. Billionaires should not exist.
did:plc:y6so7hxyeb4dfvdx6wkmmkoc,"Mum and Nana to Doodles F&A I love my grandchildren so much ♥️♥️♥️ 🌱☀️🦋
Love Gardening/Antiques/Painting/Drawing/Photography x
Love Gardening the most👩‍🌾 x♥️♥️☕️
#MentalHealthMatters #BeKind #WarningSweary 
🚨NO DM - INSTANT BLOCK","Someone just posted this about me on Twitter! 
Is this not defamation of character?
I've reported it to Twitter and my lawyer here in The Hague"
did:plc:aor3an6b7u5enebzz7rshhss,"
“I will not give into the lies. I will not give into the fear” - Jim Acosta
Retired Educator, Activist, Childless Dog Lady. MI, CO, now NC

THE HUMANITY OF ALL AMERICANS IS DIMINISHED WHEN ANY GROUP IS DENIED RIGHTS GRANTED TO OTHERS"" Julian Bond""",We have a peculiar historical event shaping up where the oligarch billionaire class is about to fleece this country while most of their supporters are working people who are convinced that they are on their side because they hate migrants & trans people.
did:plc:dchco3cjth6w3pfaeex2i3hl,"Married to Doug (http://www.douglasjlane.com) & mom to Buster in OR. Impatient gardener,  food & beverage fanatic, former engineer, data driven liberal. ","I will eventually. Will probably leave it potted this season to get bigger.

This house has 2 trees already (we've been here ~7 mos) but they have blight. We may want to remove those first or plant this in a different area."
did:plc:xogsg2vbt2zmnkzzmzhkrahb,Australian. Sick of the two party duopoly. Rusties and shills turn back now. Public health. Housing for all. A green future. Tax the billionaires. Peace.,"South Australian Govt has made the heartbreaking decision to declare a Duck Hunting Season from 22 March to 29 June.
This allows for 100 days of suffering & death of countless native ducks in our precious wetlands.
Email: officeofdeputypremier@sa.gov.au
to express your deep disgust at this decision."
did:plc:f2hb6asaanhtduauotj5jgu2,"I support liberty and secularism. Authoritarianism sucks. 
Big fan of human rights and the scientific method. Hate anti-intellectualism, pseudoscience, and techbro transhumanist bullshit. 
I change my mind sometimes.","To elaborate, mostly agree but there's still too much American exceptionalism here. Quarter millennium of republic, but barely a decade of Trumpism. Certainly institutions don't automatically preserve themselves. Whether it's gonna be easy depends on if people roll over, bc of doomerism or otherwise"
did:plc:fnqhfefhrn2kq2v4hmamkbij,"Prof @ Northwestern law, political theorist, cat parent. Black lives matter. 

Profile, pubs, etc: https://gowder.io 

All my books (rule of law, racial justice, platform governance) are downloadable in free open access pdf @ https://books.gowder.io",I think I might respect Roberts a smidge if he just told his critics to suck it up rather than this unseemly whining. Worm.
did:plc:7iepugbbrhu5nonjw67rg7yo,"Pan African Scholar, historian of the US urban environment, Army brat, US Army vet, master electrician, social & environmental justice activist, Life Long Learner

“…ignorance, allied with power, is the most ferocious enemy justice can have.”
James Baldwin","The person who needs to read and contemplate your comments - will not. A majority of those who could do something about it are too partisan or too ignorant to do the jobs to which they were elected, leaving the rest of us in mortal danger. 

A Luta Continua;
Victoria é Certa"
did:plc:yc7svzsjqbpedrznhujq66xd,"I make ceramic containers because I hate clutter and love making things. 

Born Stateless, US citizen on paper.  Love the people, worried about them  &  government. 

Cutting wood, carrying water.","Investing in economic growth.
Funding our schools.
Improving the services working families and the vulnerable need.

We cannot compromise on them, especially when we face the uncertainty of the federal government’s haphazard “ready, fire, aim” tactics toward everyday Americans."
did:plc:aor3an6b7u5enebzz7rshhss,"
“I will not give into the lies. I will not give into the fear” - Jim Acosta
Retired Educator, Activist, Childless Dog Lady. MI, CO, now NC

THE HUMANITY OF ALL AMERICANS IS DIMINISHED WHEN ANY GROUP IS DENIED RIGHTS GRANTED TO OTHERS"" Julian Bond""","I wanted to come up with an analogy to describe Trump's absurd plan for Ukraine. 

Something like...

Imagine if Mexico invaded America and then met with Canada to decide how much of America they should keep."""
did:plc:i7r5rvq2r57yl55vhasyj6ey,"AuDHD nonbinary PNW hermit, alleged Storyteller, Columbo Aficionado, Enterprise Blueprinter","All my moots are perverts (affectionate) into Trek.

Like maybe not all, and sure some do other things, but like… let’s be honest, they’re all down bad for at least one starfleet officer - or tailor."
did:plc:fnqhfefhrn2kq2v4hmamkbij,"Prof @ Northwestern law, political theorist, cat parent. Black lives matter. 

Profile, pubs, etc: https://gowder.io 

All my books (rule of law, racial justice, platform governance) are downloadable in free open access pdf @ https://books.gowder.io","interesting form of capitalism where the upper reaches of an industry are so dominated by utopia-addled libertarian weirdos that it becomes a challenge to provide what the market is asking for (content moderation, in this case)"
did:plc:dchco3cjth6w3pfaeex2i3hl,"Married to Doug (http://www.douglasjlane.com) & mom to Buster in OR. Impatient gardener,  food & beverage fanatic, former engineer, data driven liberal. ",We only protected fruit trees (since they take years to establish) and threw tarps/sheets on beds. That was it. Theres a reason we called it Darwin's garden.
did:plc:fnqhfefhrn2kq2v4hmamkbij,"Prof @ Northwestern law, political theorist, cat parent. Black lives matter. 

Profile, pubs, etc: https://gowder.io 

All my books (rule of law, racial justice, platform governance) are downloadable in free open access pdf @ https://books.gowder.io","Saying Zuckerberg is done with politics in an article ghat describes him talking with Trump and taking steps to improve his image with Republicans is consistent with the view that Republicans aren’t doing politics, they simply exist as a sort of default, and disagreeing with them is what politics is"
did:plc:shftaxirw5op7yp5ka3pdxet,"Motorbikes, Espresso, Real estate strategery, Slow Mornings,...","Why are people saying it's a constitutional crisis when it's the completion of a coup d'etat? It is a dictator seizing power. The constitution went out the window, was burnt to a crisp, and the ashes thrown onto a dung heap when we let the insurrectionist run for president."
did:plc:jcoy7v3a2t4rcfdh6i4kza25,"Astronomy postdoc @mpi-astro.bsky.social in 🇩🇪. 
Works with machine learning & star clusters. 
Maintains the Astronomy feeds (@astronomy.blue).

🏳️‍🌈 🏳️‍⚧️ (she/her), Ⓥ
Website: https://emily.space
GitHub: https://github.com/emilyhunt","It wouldn't surprise me if their plan is to use any feedback people give to help them spin it into a paid service 🫠

Not saying what they plan to do with their feedback is also really unethical, nobody consented to take part in whatever study they're doing (maybe it says it in the form, dunno)"
did:plc:jcoy7v3a2t4rcfdh6i4kza25,"Astronomy postdoc @mpi-astro.bsky.social in 🇩🇪. 
Works with machine learning & star clusters. 
Maintains the Astronomy feeds (@astronomy.blue).

🏳️‍🌈 🏳️‍⚧️ (she/her), Ⓥ
Website: https://emily.space
GitHub: https://github.com/emilyhunt","FYI there's a software/methods oriented subfeed that you can post to as well (see hashtags in the feed description below.)

It also automatically includes posts in the main feed too! Might be a cool place to post these random codes"
did:plc:dchco3cjth6w3pfaeex2i3hl,"Married to Doug (http://www.douglasjlane.com) & mom to Buster in OR. Impatient gardener,  food & beverage fanatic, former engineer, data driven liberal. ","Believe this is a houseleek succulent (found randomly in the yard when we moved in last August). 🌱
Not sure if it's going to flower or eject a face hugger 🤣🤣 Also mini-me is hiding at the bottom."
did:plc:7iepugbbrhu5nonjw67rg7yo,"Pan African Scholar, historian of the US urban environment, Army brat, US Army vet, master electrician, social & environmental justice activist, Life Long Learner

“…ignorance, allied with power, is the most ferocious enemy justice can have.”
James Baldwin",Some folk have a twisted affinity for death and dying. They will not be satisfied until the juvenile death rate in the United States is in the double digits and the majority of families have at least on member who is in leg braces or a wheelchair.
did:plc:pbr252h7qh57j6kbj63kja2b,"I write slashy sci-fi and fantasy. I like animals, flowery plants, and the environment.

Stuff: https://harperkingsley.net/blog. || https://kimichee.com. || https://ko-fi.com/harperwck. || https://amzn.to/3IdScGG. || https://patreon.com/harperkingsley.",And for all the talk of this being a Trump op... dockworkers are once again publicly crediting the Biden Administration for having their backs
did:plc:ep5l4ixikvwk6mqacxohricu,Medical & science writer. Contributor @Fortune @TIME @SciAm 25-yr Emergency Medicine physician. Book: Runaway Medicine. Pls send tips! https://www.carolynbarbermd.com/,"Authors of a recent Senate report accused insurers of “using prior authorization to protect billions in profits while forcing vulnerable patients into impossible choices.”

Good piece by: @erikafry @FortuneMagazine 👇
fortune.com/2024/12/14/u...
#MedSky  #BlueSky #medtwitter #EMSky #nursesky #fmsky"
did:plc:aor3an6b7u5enebzz7rshhss,"
“I will not give into the lies. I will not give into the fear” - Jim Acosta
Retired Educator, Activist, Childless Dog Lady. MI, CO, now NC

THE HUMANITY OF ALL AMERICANS IS DIMINISHED WHEN ANY GROUP IS DENIED RIGHTS GRANTED TO OTHERS"" Julian Bond""","When we all realize billionaires are the problem we might actually fix some issues.

'Ridiculous': Doctor charges for surgery after pulling splinter from toddler's hand

www.rawstory.com/ridiculous-d..."
did:plc:yc7svzsjqbpedrznhujq66xd,"I make ceramic containers because I hate clutter and love making things. 

Born Stateless, US citizen on paper.  Love the people, worried about them  &  government. 

Cutting wood, carrying water.",I just can't with this. He's lucky he's rich because no one would ever hire him....oh wait.
did:plc:wuamgt4m743fl3atrs4agwsq,Historian of science and religion in a previous life. Author @Palgrave (2020). Views mine. He/Him. Orange belt in Karate (2002). I'm big in Japan.,The US Embassy in Stockholm has removed the ”We Stand with Ukraine” banner that has hung on its walls for 3 years. Shame.
did:plc:f3qc7bdaq26c5kteltunruhu,"My main interests are history, science-fiction, comics, photography, technology, sciences and movies. Host of @lafayettepodcast.com

Photography on @pixmanuphoto.bsky.social

Francophone en Amérique du Nord. 

🎙💙📚🚀 🎥 📷🇨🇦🇫🇷

https://linktr.ee/manuphoto","Fuji's lens selection is fantastic, definitely a plus for this camera. Also, Fuji now allows third party lenses, expanding the system even more. Great! Be aware that its RAW files can be a bit weird"""
did:plc:coltvz6nhkdege75lixzbklf,"Irish scientist working in public health. ECDC EUPHEM alum. Interests: Neisseria, enterics, AMR, SARS-CoV-2, mol/genomic epi, NGS, R. Views my own. 🇮🇪🧬🦠🥼","We've put together an #Epidemiology / #EpiSky starter pack with some of our members & friends! Please share!

TESTIMONIALS
'The original data scientists' - @miguelhernan.bsky.social
'The new rock stars' - @nytimes.com
'A science of high importance' - @natureportfolio.bsky.social

go.bsky.app/K6DXCGi"
did:plc:yc7svzsjqbpedrznhujq66xd,"I make ceramic containers because I hate clutter and love making things. 

Born Stateless, US citizen on paper.  Love the people, worried about them  &  government. 

Cutting wood, carrying water.","I do in fact think the midterms will be relevant, because, as other people are pointing out, there is no majority constituency for what is currently being done even on the right wing of the far-right."
did:plc:u6b2xtkjlq4uh6aq6gxzl7ew,"Silver Jewellery Maker Science, Art, Poetry, Writing, History, Mythology and the Weird.

Sussex UK via Dorset

Boycott The USA Slava Ukraine🇺🇦",Its something a lot of UK ppl would actively avoid.
did:plc:i7r5rvq2r57yl55vhasyj6ey,"AuDHD nonbinary PNW hermit, alleged Storyteller, Columbo Aficionado, Enterprise Blueprinter","Which is fine for a lot of games I’ll hunker down with for an hour+, but half my time when I want a 30 second level fix."
did:plc:aor3an6b7u5enebzz7rshhss,"
“I will not give into the lies. I will not give into the fear” - Jim Acosta
Retired Educator, Activist, Childless Dog Lady. MI, CO, now NC

THE HUMANITY OF ALL AMERICANS IS DIMINISHED WHEN ANY GROUP IS DENIED RIGHTS GRANTED TO OTHERS"" Julian Bond""","The corporate takeover of American politics was rapid and ruthless.

In the 1970s, I watched as thousands of corporate lobbyists descended on Washington. Fast forward to today, and lobbying has become a $3.7 billion dollar industry.

It all began with the Powell Memo."
did:plc:xogsg2vbt2zmnkzzmzhkrahb,Australian. Sick of the two party duopoly. Rusties and shills turn back now. Public health. Housing for all. A green future. Tax the billionaires. Peace.,"No matter what happens at the next election, the Miles govt can be very proud of this:

www.theguardian.com/australia-ne..."
did:plc:ztxesphxbajj6xfxugfsxofm,"18+ Themagicman1 on FA, always watching, I like star wars, vore, Ben 10, avatar and LOK, dragon ball, pokemon, gaming and much more.",Gonna tuck them into one of if not the comfiest tum they have ever been in.
did:plc:jcoy7v3a2t4rcfdh6i4kza25,"Astronomy postdoc @mpi-astro.bsky.social in 🇩🇪. 
Works with machine learning & star clusters. 
Maintains the Astronomy feeds (@astronomy.blue).

🏳️‍🌈 🏳️‍⚧️ (she/her), Ⓥ
Website: https://emily.space
GitHub: https://github.com/emilyhunt","There are two Astrophotography feeds on Bluesky too, which can be posted to with #astrophotography. This one is ran by me, and only includes posts from people signed up to the Astronomy feed network:"
did:plc:fnqhfefhrn2kq2v4hmamkbij,"Prof @ Northwestern law, political theorist, cat parent. Black lives matter. 

Profile, pubs, etc: https://gowder.io 

All my books (rule of law, racial justice, platform governance) are downloadable in free open access pdf @ https://books.gowder.io","Ok Elon, will these power-grab reversals apply to the department of justice? to the administrative empire of immigration law? how about to homeland security? Will CBP obey the 4th Amendment? 

www.wsj.com/opinion/musk..."
did:plc:tdhfbju5nml6p7goaye5iiqj,"European Space Agency Astronomer at the Space Telescope Science Institute in Baltimore, MD. Team Lead for the MIRI instrument on JWST. Runner, dog mum, cyclist. 🇬🇧🇧🇪 Opinions my own. ",I also made the mistake of assuming most federal workers are in DC - this map shows how that’s very much NOT the case!
did:plc:f3qc7bdaq26c5kteltunruhu,"My main interests are history, science-fiction, comics, photography, technology, sciences and movies. Host of @lafayettepodcast.com

Photography on @pixmanuphoto.bsky.social

Francophone en Amérique du Nord. 

🎙💙📚🚀 🎥 📷🇨🇦🇫🇷

https://linktr.ee/manuphoto","New Take Me To Your Reader episode! Stalker, based on Roadside Picnic, by the Strugatsky Brothers, with guest Ben DeBono from the Sci-Fi Christian
pavementpodcast.com/podcast/stal..."
did:plc:u6b2xtkjlq4uh6aq6gxzl7ew,"Silver Jewellery Maker Science, Art, Poetry, Writing, History, Mythology and the Weird.

Sussex UK via Dorset

Boycott The USA Slava Ukraine🇺🇦","Houchen and his cohorts should be up in trial, Teesside has been long forgotten by several governments but this is utterly criminal!

northeastbylines.co.uk/news/environ..."
did:plc:y6so7hxyeb4dfvdx6wkmmkoc,"Mum and Nana to Doodles F&A I love my grandchildren so much ♥️♥️♥️ 🌱☀️🦋
Love Gardening/Antiques/Painting/Drawing/Photography x
Love Gardening the most👩‍🌾 x♥️♥️☕️
#MentalHealthMatters #BeKind #WarningSweary 
🚨NO DM - INSTANT BLOCK","Unbelievable. Donald Trump has been invited to a state visit to the UK. We should not be rolling out the red carpet to celebrate this man. Agree? Add your name to the petition today: you.38degrees.org.uk/petitions/no...

SIGN AND SHARE THIS !!!"
did:plc:7edcfjn4kyywj3cqvdzym7os,"Passionate debater. Generous with compliments. Dedicated to helping others. Consultant. Communication. Rhetoric. Politics. Media. 
https://buymeacoffee.com/terjehelland
https://www.paypal.com/paypalme/TerjeHelland
ENcouncil.org","The abolition of the Civil Service Bureau is another step in consolidating control.
This bureau helped ensure a professional, independent public service. Now, its responsibilities are being transferred to the Anti-Corruption Bureau—an agency fully controlled by GD."
did:plc:c6kv4xyvyjylc3l55kk2uvkv,"People who know me will say I blab about comics, mobile tech, video games, and why intersectional feminism is what we need more of.",Cold weather means it's going to be PC gaming season. Nvidia cards pump out enough heat to warm any room.
did:plc:slsudzd2ktkajexx4mtojwxx,"Star Wars,  Marvel, Doctor Who  Not buying your art so don't ask! Seeking help to avoid eviction,  help please.    https://gofund.me/ec92ae53",NEW: The CDC is currently removing all the influenza resources from their website during the worst flu season in decades.
did:plc:aor3an6b7u5enebzz7rshhss,"
“I will not give into the lies. I will not give into the fear” - Jim Acosta
Retired Educator, Activist, Childless Dog Lady. MI, CO, now NC

THE HUMANITY OF ALL AMERICANS IS DIMINISHED WHEN ANY GROUP IS DENIED RIGHTS GRANTED TO OTHERS"" Julian Bond""","This new iteration of Nazis want to become a “Master Race” with ELON fucking MUSK as their poster boy? 🤣 

On what planet is Elon Musk the master prototype for anything? 

This is a man who spends considerable time trolling his trans daughter while high on ketamine."
did:plc:f7ui6lggjwy3czztiaama4qo,"Williamsville New York; sponsor of the #22 Dirt 358 Modified, retired from Disaster Management, Proud Grandpa of two crazy grandkids!","While working disasters, I'd try and attend local races. In TX waiting track prep to finish, I called home to check on the family. They picked my number and won a shirt. I quickly hung up to get the shirt. Got the cold shoulder when I called later. I still have the shirt and the family  😃"
